Starte Durchlauf Nr. 30


| hour           | arr   | not   |
| 1-Mon-00       | 4018          | 17662         |
| 1-Mon-01       | 2709          | 8417          |
| 1-Mon-02       | 1929          | 6856          |
| 1-Mon-03       | 1334          | 5676          |
| 1-Mon-04       | 914           | 4605          |
| 1-Mon-05       | 662           | 4608          |
| 1-Mon-06       | 1264          | 6113          |
| 1-Mon-07       | 1407          | 9559          |
| 1-Mon-08       | 2407          | 14179         |
| 1-Mon-09       | 3094          | 18351         |
| 1-Mon-10       | 4727          | 15135         |
| 1-Mon-11       | 5931          | 14134         |
| 1-Mon-12       | 5588          | 20002         |
| 1-Mon-13       | 5460          | 15294         |
| 1-Mon-14       | 5558          | 16390         |
| 1-Mon-15       | 5764          | 18014         |
| 1-Mon-16       | 5363          | 16871         |
| 1-Mon-17       | 5162          | 17284         |
| 1-Mon-18       | 6228          | 17945         |
| 1-Mon-19       | 7599          | 16464         |
| 1-Mon-20       | 6867          | 15831         |
| 1-Mon-21       | 6261          | 15127         |
| 1-Mon-22       | 6091          | 14659         |
| 1-Mon-23       | 4898          | 11031         |
| 2-Tue-00       | 3926          | 16061         |
| 2-Tue-01       | 2570          | 7538          |
| 2-Tue-02       | 1802          | 5992          |
| 2-Tue-03       | 1194          | 4868          |
| 2-Tue-04       | 778           | 4143          |
| 2-Tue-05       | 612           | 4304          |
| 2-Tue-06       | 1355          | 5936          |
| 2-Tue-07       | 1619          | 9685          |
| 2-Tue-08       | 2656          | 14124         |
| 2-Tue-09       | 3307          | 18021         |
| 2-Tue-10       | 4936          | 14689         |
| 2-Tue-11       | 6152          | 14358         |
| 2-Tue-12       | 6115          | 19747         |
| 2-Tue-13       | 5818          | 15599         |
| 2-Tue-14       | 6015          | 16455         |
| 2-Tue-15       | 6212          | 18009         |
| 2-Tue-16       | 5975          | 17157         |
| 2-Tue-17       | 5404          | 17484         |
| 2-Tue-18       | 6436          | 17774         |
| 2-Tue-19       | 8200          | 16936         |
| 2-Tue-20       | 7728          | 15919         |
| 2-Tue-21       | 6850          | 15018         |
| 2-Tue-22       | 6485          | 14345         |
| 2-Tue-23       | 5039          | 11236         |
| 3-Wed-00       | 4087          | 15798         |
| 3-Wed-01       | 2609          | 7344          |
| 3-Wed-02       | 1883          | 6019          |
| 3-Wed-03       | 1195          | 4885          |
| 3-Wed-04       | 808           | 3972          |
| 3-Wed-05       | 645           | 4314          |
| 3-Wed-06       | 1340          | 5882          |
| 3-Wed-07       | 1697          | 9554          |
| 3-Wed-08       | 2732          | 14125         |
| 3-Wed-09       | 3474          | 17731         |
| 3-Wed-10       | 5002          | 14659         |
| 3-Wed-11       | 6334          | 14114         |
| 3-Wed-12       | 6368          | 19996         |
| 3-Wed-13       | 5969          | 15673         |
